Eastern Date Hour,Eastern Date Hour Time Zone,Zone Name,Zone PTID,DAM Zonal LBMP,DAM Zonal Losses,DAM Zonal Congestion,DAM Zonal Price Version
6/6/24 15:00,EDT,N.Y.C.,61761,41.03,3.53,-3.83,1
6/6/24 16:00,EDT,N.Y.C.,61761,44.94,3.95,-4.4,1
6/6/24 17:00,EDT,N.Y.C.,61761,49,4.59,-4.82,1
6/6/24 18:00,EDT,N.Y.C.,61761,45.3,4.23,-2.58,1
6/6/24 19:00,EDT,N.Y.C.,61761,43.26,4.04,-1.86,1
6/6/24 20:00,EDT,N.Y.C.,61761,39.57,3.88,-1.02,1
6/6/24 21:00,EDT,N.Y.C.,61761,35.59,3.38,-0.02,1
6/6/24 22:00,EDT,N.Y.C.,61761,30.63,2.81,0,1
6/6/24 23:00,EDT,N.Y.C.,61761,26.93,2.45,0,1
6/7/24 0:00,EDT,N.Y.C.,61761,24.64,2.03,0,1
6/7/24 1:00,EDT,N.Y.C.,61761,21.63,1.66,0,1
6/7/24 2:00,EDT,N.Y.C.,61761,21.06,1.63,0,1
6/7/24 3:00,EDT,N.Y.C.,61761,20.28,1.54,0,1
6/7/24 4:00,EDT,N.Y.C.,61761,20.18,1.5,0,1
6/7/24 5:00,EDT,N.Y.C.,61761,21.34,1.41,0,1
6/7/24 6:00,EDT,N.Y.C.,61761,23.81,1.66,0,1
6/7/24 7:00,EDT,N.Y.C.,61761,24.87,2.09,0,1
6/7/24 8:00,EDT,N.Y.C.,61761,26.79,2.46,0,1
6/7/24 9:00,EDT,N.Y.C.,61761,27.98,2.68,-0.28,1
6/7/24 10:00,EDT,N.Y.C.,61761,31.31,2.72,-3.39,1
6/7/24 11:00,EDT,N.Y.C.,61761,31.31,2.76,-3.26,1
6/7/24 12:00,EDT,N.Y.C.,61761,32.11,2.65,-4.97,1
6/7/24 13:00,EDT,N.Y.C.,61761,31.31,2.79,-3.57,1
6/7/24 14:00,EDT,N.Y.C.,61761,32.34,2.83,-4.64,1
6/7/24 15:00,EDT,N.Y.C.,61761,36.23,2.87,-8.18,1
6/7/24 16:00,EDT,N.Y.C.,61761,38.56,3,-9.49,1
6/7/24 17:00,EDT,N.Y.C.,61761,41.05,3.52,-7.41,1
6/7/24 18:00,EDT,N.Y.C.,61761,38.27,3.54,-4.44,1
6/7/24 19:00,EDT,N.Y.C.,61761,35.15,3.54,-0.77,1
6/7/24 20:00,EDT,N.Y.C.,61761,31.01,3.15,-0.02,1
6/7/24 21:00,EDT,N.Y.C.,61761,28.93,2.82,-0.02,1
6/7/24 22:00,EDT,N.Y.C.,61761,26.08,2.48,-0.02,1
6/7/24 23:00,EDT,N.Y.C.,61761,24.08,2.02,-0.13,1
6/8/24 0:00,EDT,N.Y.C.,61761,24.68,2.06,0,1
6/8/24 1:00,EDT,N.Y.C.,61761,20.98,1.66,0,1
6/8/24 2:00,EDT,N.Y.C.,61761,20.07,1.54,-0.01,1
6/8/24 3:00,EDT,N.Y.C.,61761,18.48,1.35,0,1
6/8/24 4:00,EDT,N.Y.C.,61761,18.06,1.32,0,1
6/8/24 5:00,EDT,N.Y.C.,61761,18.92,1.35,0,1
6/8/24 6:00,EDT,N.Y.C.,61761,18.7,1.31,0,1
6/8/24 7:00,EDT,N.Y.C.,61761,19.24,1.39,0,1
6/8/24 8:00,EDT,N.Y.C.,61761,19.99,1.6,0,1
6/8/24 9:00,EDT,N.Y.C.,61761,20.67,1.72,0,1
6/8/24 10:00,EDT,N.Y.C.,61761,21.28,1.88,0,1
6/8/24 11:00,EDT,N.Y.C.,61761,21.58,1.96,0,1
6/8/24 12:00,EDT,N.Y.C.,61761,21.87,2.06,0,1
6/8/24 13:00,EDT,N.Y.C.,61761,22.33,2.14,0,1
6/8/24 14:00,EDT,N.Y.C.,61761,22.28,2.19,-0.35,1
6/8/24 15:00,EDT,N.Y.C.,61761,24.23,2.3,-2.1,1
6/8/24 16:00,EDT,N.Y.C.,61761,27,2.46,-2.96,1
6/8/24 17:00,EDT,N.Y.C.,61761,30.11,2.71,-3.21,1
6/8/24 18:00,EDT,N.Y.C.,61761,34.92,3.04,-4.96,1
6/8/24 19:00,EDT,N.Y.C.,61761,35.06,3.22,-2.52,1
6/8/24 20:00,EDT,N.Y.C.,61761,28.92,2.7,0,1
6/8/24 21:00,EDT,N.Y.C.,61761,26.09,2.37,0,1
6/8/24 22:00,EDT,N.Y.C.,61761,25.12,2.11,0,1
6/8/24 23:00,EDT,N.Y.C.,61761,23.04,1.76,0,1
6/9/24 0:00,EDT,N.Y.C.,61761,20.87,1.65,0,1
6/9/24 1:00,EDT,N.Y.C.,61761,18.14,1.39,0,1
6/9/24 2:00,EDT,N.Y.C.,61761,17.17,1.26,0,1
6/9/24 3:00,EDT,N.Y.C.,61761,16.27,1.16,0,1
6/9/24 4:00,EDT,N.Y.C.,61761,15.6,1.1,0,1
6/9/24 5:00,EDT,N.Y.C.,61761,15.95,1.1,0,1
6/9/24 6:00,EDT,N.Y.C.,61761,15.2,1.06,0,1
6/9/24 7:00,EDT,N.Y.C.,61761,16.29,1.09,0,1
6/9/24 8:00,EDT,N.Y.C.,61761,17.94,1.3,0,1
6/9/24 9:00,EDT,N.Y.C.,61761,18.84,1.4,0,1
6/9/24 10:00,EDT,N.Y.C.,61761,20.01,1.7,0,1
6/9/24 11:00,EDT,N.Y.C.,61761,20.32,1.86,0,1
6/9/24 12:00,EDT,N.Y.C.,61761,20.09,1.84,0,1
6/9/24 13:00,EDT,N.Y.C.,61761,20.57,2.01,0,1
6/9/24 14:00,EDT,N.Y.C.,61761,21.21,2.14,0,1
6/9/24 15:00,EDT,N.Y.C.,61761,21.21,2.06,-1.42,1
6/9/24 16:00,EDT,N.Y.C.,61761,22.22,2.31,-0.15,1
6/9/24 17:00,EDT,N.Y.C.,61761,25.79,2.66,0,1
6/9/24 18:00,EDT,N.Y.C.,61761,28.21,2.86,0,1
6/9/24 19:00,EDT,N.Y.C.,61761,28.21,2.86,-0.02,1
6/9/24 20:00,EDT,N.Y.C.,61761,27.11,2.62,0,1
6/9/24 21:00,EDT,N.Y.C.,61761,25.26,2.17,0,1
6/9/24 22:00,EDT,N.Y.C.,61761,23.13,1.97,0,1
6/9/24 23:00,EDT,N.Y.C.,61761,22.17,1.81,0,1
6/10/24 0:00,EDT,N.Y.C.,61761,20.51,1.59,0,1
6/10/24 1:00,EDT,N.Y.C.,61761,18.02,1.3,0,1
6/10/24 2:00,EDT,N.Y.C.,61761,17.09,1.3,0,1
6/10/24 3:00,EDT,N.Y.C.,61761,15.69,1.16,0,1
6/10/24 4:00,EDT,N.Y.C.,61761,16.35,1.1,0,1
6/10/24 5:00,EDT,N.Y.C.,61761,17.25,1.01,0,1
6/10/24 6:00,EDT,N.Y.C.,61761,20.77,1.3,0,1
6/10/24 7:00,EDT,N.Y.C.,61761,22.71,1.59,0,1
6/10/24 8:00,EDT,N.Y.C.,61761,23.23,1.84,0,1
6/10/24 9:00,EDT,N.Y.C.,61761,21.68,1.77,0.03,1
6/10/24 10:00,EDT,N.Y.C.,61761,21.43,1.77,0,1
6/10/24 11:00,EDT,N.Y.C.,61761,21.83,1.86,0.03,1
6/10/24 12:00,EDT,N.Y.C.,61761,22.39,1.94,0,1
6/10/24 13:00,EDT,N.Y.C.,61761,22.92,2.12,0,1
6/10/24 14:00,EDT,N.Y.C.,61761,23.02,2.23,0,1
6/10/24 15:00,EDT,N.Y.C.,61761,24.35,2.48,-0.33,1
6/10/24 16:00,EDT,N.Y.C.,61761,29.48,2.87,-2.71,1
6/10/24 17:00,EDT,N.Y.C.,61761,32.65,3.09,-4.22,1
6/10/24 18:00,EDT,N.Y.C.,61761,32.99,3.33,-1.46,1
